,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,market_value
3124,371814,31,nathaniel-phillips,Nathaniel Phillips,England,England,1997-03-21,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/nathaniel-phillips/profil/spieler/371814,7200000
3125,75458,29,robin-olsen,Robin Olsen,Sweden,Sweden,1990-01-08,Goalkeeper,,Right,196,https://www.transfermarkt.co.uk/robin-olsen/profil/spieler/75458,2700000
3126,294057,1003,james-maddison,James Maddison,England,England,1996-11-23,Midfield,Attacking Midfield,Right,175,https://www.transfermarkt.co.uk/james-maddison/profil/spieler/294057,49500000
3127,71271,31,adrian,Adrian,Spain,Spain,1987-01-03,Goalkeeper,,Right,190,https://www.transfermarkt.co.uk/adrian/profil/spieler/71271,900000
3128,398065,1003,harvey-barnes,Harvey Barnes,England,England,1997-12-09,Midfield,Left Midfield,Right,182,https://www.transfermarkt.co.uk/harvey-barnes/profil/spieler/398065,31500000
3129,203026,1003,danny-ward,Danny Ward,Wales,Wales,1993-06-22,Goalkeeper,,Right,191,https://www.transfermarkt.co.uk/danny-ward/profil/spieler/203026,5400000
3130,274839,1003,wilfred-ndidi,Wilfred Ndidi,Nigeria,Nigeria,1996-12-16,Midfield,Defensive Midfield,Right,183,https://www.transfermarkt.co.uk/wilfred-ndidi/profil/spieler/274839,54000000
3131,127187,29,abdoulaye-doucoure,Abdoulaye Doucoure,France,France,1993-01-01,Midfield,Central Midfield,Right,183,https://www.transfermarkt.co.uk/abdoulaye-doucoure/profil/spieler/127187,22500000
3132,475411,1003,wesley-fofana,Wesley Fofana,France,France,2000-12-17,Defender,Centre-Back,Right,190,https://www.transfermarkt.co.uk/wesley-fofana/profil/spieler/475411,36000000
3133,341501,1003,hamza-choudhury,Hamza Choudhury,England,England,1997-10-01,Midfield,Defensive Midfield,Right,178,https://www.transfermarkt.co.uk/hamza-choudhury/profil/spieler/341501,6300000
3134,320141,1003,caglar-soyuncu,Caglar Soyuncu,Menemen,Turkey,1996-05-23,Defender,Centre-Back,Both,187,https://www.transfermarkt.co.uk/caglar-soyuncu/profil/spieler/320141,40500000
3135,42412,1003,jonny-evans,Jonny Evans,Northern Ireland,Northern Ireland,1988-01-03,Defender,Centre-Back,Both,188,https://www.transfermarkt.co.uk/jonny-evans/profil/spieler/42412,6300000
3136,214056,1003,daniel-amartey,Daniel Amartey,Ghana,Ghana,1994-12-21,Defender,Centre-Back,Right,186,https://www.transfermarkt.co.uk/daniel-amartey/profil/spieler/214056,4500000
3137,262226,1003,timothy-castagne,Timothy Castagne,Belgium,Belgium,1995-12-05,Defender,Right-Back,Right,180,https://www.transfermarkt.co.uk/timothy-castagne/profil/spieler/262226,25200000
3138,16911,1003,kasper-schmeichel,Kasper Schmeichel,Denmark,Denmark,1986-11-05,Goalkeeper,,Right,189,https://www.transfermarkt.co.uk/kasper-schmeichel/profil/spieler/16911,5400000
3139,6636,1003,christian-fuchs,Christian Fuchs,Austria,Austria,1986-04-07,Defender,Left-Back,Left,187,https://www.transfermarkt.co.uk/christian-fuchs/profil/spieler/6636,720000
3140,61560,1003,marc-albrighton,Marc Albrighton,England,England,1989-11-18,Midfield,Right Midfield,Right,175,https://www.transfermarkt.co.uk/marc-albrighton/profil/spieler/61560,3600000
3141,246968,1003,ayoze-perez,Ayoze Perez,Spain,Spain,1993-07-29,Attack,Second Striker,Right,178,https://www.transfermarkt.co.uk/ayoze-perez/profil/spieler/246968,16200000
3142,197838,1003,jamie-vardy,Jamie Vardy,England,England,1987-01-11,Attack,Centre-Forward,Right,179,https://www.transfermarkt.co.uk/jamie-vardy/profil/spieler/197838,6300000
3143,2857,1003,eldin-jakupovic,Eldin Jakupovic,Jugoslawien (SFR),Switzerland,1984-10-02,Goalkeeper,,Right,191,https://www.transfermarkt.co.uk/eldin-jakupovic/profil/spieler/2857,270000
3144,413220,1003,james-justin,James Justin,England,England,1998-02-23,Defender,Right-Back,Right,183,https://www.transfermarkt.co.uk/james-justin/profil/spieler/413220,15300000
3145,10003,1003,wes-morgan,Wes Morgan,England,Jamaica,1984-01-21,Defender,Centre-Back,Right,185,https://www.transfermarkt.co.uk/wes-morgan/profil/spieler/10003,360000
3146,341647,1003,cengiz-under,Cengiz Under,Sindirgi,Turkey,1997-07-14,Attack,Right Winger,Left,173,https://www.transfermarkt.co.uk/cengiz-under/profil/spieler/341647,16200000
3147,105470,31,alisson,Alisson,Rio Grande do Sul,Brazil,1992-10-02,Goalkeeper,,Right,191,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470,54000000
3148,505194,1003,luke-thomas,Luke Thomas,Leicestershire,England,2001-06-10,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/luke-thomas/profil/spieler/505194,4500000
3149,670883,148,dane-scarlett,Dane Scarlett,Hillingdon,England,2004-03-24,Attack,Centre-Forward,Right,180,https://www.transfermarkt.co.uk/dane-scarlett/profil/spieler/670883,225000
3150,295330,1003,kelechi-iheanacho,Kelechi Iheanacho,Nigeria,Nigeria,1996-10-03,Attack,Centre-Forward,Left,185,https://www.transfermarkt.co.uk/kelechi-iheanacho/profil/spieler/295330,18000000
3151,207929,148,dele-alli,Dele Alli,England,England,1996-04-11,Midfield,Attacking Midfield,Right,188,https://www.transfermarkt.co.uk/dele-alli/profil/spieler/207929,27000000
3152,344152,1003,odsonne-edouard,Odsonne Edouard,French Guiana,France,1998-01-16,Attack,Centre-Forward,Right,187,https://www.transfermarkt.co.uk/odsonne-edouard/profil/spieler/344152,13500000
3153,73522,1003,matty-james,Matty James,England,England,1991-07-22,Midfield,Central Midfield,Right,181,https://www.transfermarkt.co.uk/matty-james/profil/spieler/73522,900000
3154,215876,1003,ricardo-pereira,Ricardo Pereira,Portugal,Portugal,1993-10-06,Defender,Right-Back,Right,175,https://www.transfermarkt.co.uk/ricardo-pereira/profil/spieler/215876,27000000
3155,40204,148,joe-hart,Joe Hart,England,England,1987-04-19,Goalkeeper,,Right,196,https://www.transfermarkt.co.uk/joe-hart/profil/spieler/40204,1800000
3156,129588,1003,dennis-praet,Dennis Praet,Louvain - Löwen,Belgium,1994-05-14,Midfield,Central Midfield,Right,181,https://www.transfermarkt.co.uk/dennis-praet/profil/spieler/129588,16200000
3157,282429,148,sergio-reguilon,Sergio Reguilon,Spain,Spain,1996-12-16,Defender,Left-Back,Left,178,https://www.transfermarkt.co.uk/sergio-reguilon/profil/spieler/282429,22500000
3158,249126,148,harry-winks,Harry Winks,England,England,1996-02-02,Midfield,Defensive Midfield,Right,178,https://www.transfermarkt.co.uk/harry-winks/profil/spieler/249126,18000000
3159,297212,148,joe-rodon,Joe Rodon,Wales,Wales,1997-10-22,Defender,Centre-Back,Right,193,https://www.transfermarkt.co.uk/joe-rodon/profil/spieler/297212,9000000
3160,111051,1003,nampalys-mendy,Nampalys Mendy,France,Senegal,1992-06-23,Midfield,Defensive Midfield,Right,167,https://www.transfermarkt.co.uk/nampalys-mendy/profil/spieler/111051,7200000
3161,91845,148,heung-min-son,Heung Min Son,"Korea, South","Korea, South",1992-07-08,Attack,Left Winger,Both,184,https://www.transfermarkt.co.uk/heung-min-son/profil/spieler/91845,76500000
3162,171679,148,matt-doherty,Matt Doherty,Swords,Ireland,1992-01-16,Defender,Right-Back,Right,185,https://www.transfermarkt.co.uk/matt-doherty/profil/spieler/171679,14400000
3163,167799,148,pierre-emile-hojbjerg,Pierre Emile Hojbjerg,Denmark,Denmark,1995-08-05,Midfield,Central Midfield,Right,185,https://www.transfermarkt.co.uk/pierre-emile-hojbjerg/profil/spieler/167799,31500000
3164,346478,148,japhet-tanganga,Japhet Tanganga,Hackney,England,1999-03-31,Defender,Centre-Back,Right,184,https://www.transfermarkt.co.uk/japhet-tanganga/profil/spieler/346478,7200000
3165,192765,148,ben-davies,Ben Davies,Wales,Wales,1993-04-24,Defender,Left-Back,Left,181,https://www.transfermarkt.co.uk/ben-davies/profil/spieler/192765,14400000
3166,348795,148,giovani-lo-celso,Giovani Lo Celso,Santa Fe,Argentina,1996-04-09,Midfield,Central Midfield,Left,177,https://www.transfermarkt.co.uk/giovani-lo-celso/profil/spieler/348795,24300000
3167,525287,148,carlos-vinicius,Carlos Vinicius,Brazil,Brazil,1995-03-25,Attack,Centre-Forward,Left,190,https://www.transfermarkt.co.uk/carlos-vinicius/profil/spieler/525287,16200000
3168,50174,148,danny-rose,Danny Rose,England,England,1990-07-02,Defender,Left-Back,Left,173,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174,2700000
3169,406638,148,oliver-skipp,Oliver Skipp,England,England,2000-09-16,Midfield,Defensive Midfield,Right,175,https://www.transfermarkt.co.uk/oliver-skipp/profil/spieler/406638,9000000
3170,282823,148,alfie-whiteman,Alfie Whiteman,Tottenham,England,1998-10-02,Goalkeeper,,Right,188,https://www.transfermarkt.co.uk/alfie-whiteman/profil/spieler/282823,900000
3171,284165,148,steven-bergwijn,Steven Bergwijn,Netherlands,Netherlands,1997-10-08,Attack,Left Winger,Right,178,https://www.transfermarkt.co.uk/steven-bergwijn/profil/spieler/284165,19800000
3172,341429,148,davinson-sanchez,Davinson Sanchez,Colombia,Colombia,1996-06-12,Defender,Centre-Back,Right,187,https://www.transfermarkt.co.uk/davinson-sanchez/profil/spieler/341429,28800000
3173,17965,148,hugo-lloris,Hugo Lloris,France,France,1986-12-26,Goalkeeper,,Left,188,https://www.transfermarkt.co.uk/hugo-lloris/profil/spieler/17965,8100000
