,player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url,league_id,market_value,games,minutes_played,goals,assists,wins,draws,losses,yellow_cards,red_cards,age,club_name
412,41323,89,andreas-luthe,Andreas Luthe,Germany,Germany,1987-03-10,Goalkeeper,Goalkeeper,Right,195,https://www.transfermarkt.co.uk/andreas-luthe/profil/spieler/41323,L1,810000,31,2769,0,0,11,12,8,1,0,34,1 Fc Union Berlin
413,546343,89,nikolai-kemlein,Nikolai Kemlein,,Germany,2002-07-12,Goalkeeper,Goalkeeper,Right,190,https://www.transfermarkt.co.uk/nikolai-kemlein/profil/spieler/546343,L1,90000,0,0,0,0,0,0,0,0,0,18,1 Fc Union Berlin
414,153555,89,sebastian-griesbeck,Sebastian Griesbeck,Germany,Germany,1990-10-03,Midfield,Defensive Midfield,Right,189,https://www.transfermarkt.co.uk/sebastian-griesbeck/profil/spieler/153555,L1,900000,24,881,0,1,10,8,6,3,0,30,1 Fc Union Berlin
415,387110,89,petar-musa,Petar Musa,Croatia,Croatia,1998-03-04,Attack,Centre-Forward,,190,https://www.transfermarkt.co.uk/petar-musa/profil/spieler/387110,L1,1800000,14,718,1,3,5,6,3,2,0,23,1 Fc Union Berlin
416,203411,89,jakob-busk,Jakob Busk,Denmark,Denmark,1993-09-12,Goalkeeper,Goalkeeper,Right,189,https://www.transfermarkt.co.uk/jakob-busk/profil/spieler/203411,L1,225000,0,0,0,0,0,0,0,0,0,27,1 Fc Union Berlin
417,421726,89,keita-endo,Keita Endo,Japan,Japan,1997-11-22,Attack,Left Winger,Right,175,https://www.transfermarkt.co.uk/keita-endo/profil/spieler/421726,L1,1170000,16,450,1,0,6,5,5,0,0,23,1 Fc Union Berlin
418,85864,89,loris-karius,Loris Karius,Germany,Germany,1993-06-22,Goalkeeper,Goalkeeper,Right,191,https://www.transfermarkt.co.uk/loris-karius/profil/spieler/85864,L1,1800000,4,291,0,0,1,3,0,0,0,27,1 Fc Union Berlin
419,75921,89,christopher-trimmel,Christopher Trimmel,Austria,Austria,1987-02-24,Defender,Right-Back,Right,189,https://www.transfermarkt.co.uk/christopher-trimmel/profil/spieler/75921,L1,1080000,31,2579,1,10,11,13,7,9,0,34,1 Fc Union Berlin
420,72792,89,niko-giesselmann,Niko Giesselmann,Germany,Germany,1991-09-26,Defender,Left-Back,Left,182,https://www.transfermarkt.co.uk/niko-giesselmann/profil/spieler/72792,L1,1170000,13,421,0,0,4,3,6,3,0,29,1 Fc Union Berlin
421,85906,39,danny-da-costa,Danny Da Costa,Germany,Germany,1993-07-13,Defender,Right-Back,Right,187,https://www.transfermarkt.co.uk/danny-da-costa/profil/spieler/85906,L1,5400000,22,1321,0,1,8,5,3,2,0,27,1 Fsv Mainz 05
422,357233,39,leandro-barreiro,Leandro Barreiro,Luxembourg,Luxembourg,2000-01-03,Midfield,Central Midfield,Right,174,https://www.transfermarkt.co.uk/leandro-barreiro/profil/spieler/357233,L1,9900000,29,2314,2,2,10,9,10,5,0,21,1 Fsv Mainz 05
423,384553,39,luca-kilian,Luca Kilian,Germany,Germany,1999-09-01,Defender,Centre-Back,Right,192,https://www.transfermarkt.co.uk/luca-kilian/profil/spieler/384553,L1,1170000,6,380,0,0,1,1,4,1,0,21,1 Fsv Mainz 05
424,39106,39,adam-szalai,Adam Szalai,Hungary,Hungary,1987-12-09,Attack,Centre-Forward,Right,193,https://www.transfermarkt.co.uk/adam-szalai/profil/spieler/39106,L1,360000,18,732,1,0,7,5,6,1,0,33,1 Fsv Mainz 05
425,196139,39,robert-glatzel,Robert Glatzel,Germany,Germany,1994-01-08,Attack,Centre-Forward,Right,193,https://www.transfermarkt.co.uk/robert-glatzel/profil/spieler/196139,L1,2250000,13,351,2,1,6,5,2,0,0,27,1 Fsv Mainz 05
426,82350,39,stefan-bell,Stefan Bell,Germany,Germany,1991-08-24,Defender,Centre-Back,Right,192,https://www.transfermarkt.co.uk/stefan-bell/profil/spieler/82350,L1,1800000,16,1271,1,1,8,5,3,6,0,29,1 Fsv Mainz 05
427,503160,39,paul-nebel,Paul Nebel,Germany,Germany,2002-10-10,Attack,Right Winger,Both,169,https://www.transfermarkt.co.uk/paul-nebel/profil/spieler/503160,L1,720000,4,48,0,0,0,0,4,0,0,18,1 Fsv Mainz 05
428,182574,39,jean-paul-boetius,Jean Paul Boetius,Netherlands,Netherlands,1994-03-22,Midfield,Attacking Midfield,Right,178,https://www.transfermarkt.co.uk/jean-paul-boetius/profil/spieler/182574,L1,4500000,31,2073,2,5,8,8,15,5,0,27,1 Fsv Mainz 05
